,Method,Budget,TimeSec
0,Genetic,10,6.95055
1,Genetic,20,4.52204
2,Genetic,30,4.76735
3,Genetic,40,6.12043
4,Genetic,50,7.2052
5,Genetic,60,4.93095
6,Genetic,70,6.00405
7,Genetic,80,5.9261
8,Genetic,90,8.41966
9,Genetic,100,8.51774
10,Greedy,10,3.19e-05
11,Greedy,20,2.4718e-05
12,Greedy,30,4.1016e-05
13,Greedy,40,4.1426e-05
14,Greedy,50,4.1142e-05
15,Greedy,60,2.5359e-05
16,Greedy,70,3.4067e-05
17,Greedy,80,4.9604e-05
18,Greedy,90,4.0677e-05
19,Greedy,100,2.947e-05
20,Hoogeveen,10,0.0354279
21,Hoogeveen,20,0.0389474
22,Hoogeveen,30,0.0404427
23,Hoogeveen,40,0.0415305
24,Hoogeveen,50,0.0498322
25,Hoogeveen,60,0.0520506
26,Hoogeveen,70,0.0575968
27,Hoogeveen,80,0.0570517
28,Hoogeveen,90,0.0692336
29,Hoogeveen,100,0.0927306
